ticker,f_rsi2,f_rsi14,f_atr_pct,f_pullback,f_vs_sma50,f_vs_sma200,f_trend_spread,f_adx,f_dvol_musd,f_down_days,signal_date,entry_date,exit_date,days,entry,stop,exit,stop_dist_pct,r,gross_pct,mae_pct,reason,score,cost_pct_margin
AMAT,8.0,53.0,2.84,4.88,3.39,13.42,9.7,18.0,434.0,2,2019-07-08,2019-07-09,2019-07-25,13,43.75,41.65,50.82,4.79,2.334,16.16,-1.99,tiempo,59.6,4.9
STX,3.9,49.7,2.61,3.13,0.74,3.36,2.6,17.3,120.0,3,2019-07-09,2019-07-10,2019-07-26,13,46.76,44.96,47.81,3.85,0.455,2.25,-0.53,tiempo,52.5,4.9
AVGO,14.9,45.9,2.99,8.26,-2.78,3.57,6.53,17.6,1067.0,2,2019-07-09,2019-07-10,2019-07-26,13,27.79,26.55,30.09,4.45,1.572,8.3,-1.77,tiempo,46.6,4.9
ASML,7.9,55.5,1.96,3.89,3.71,12.9,8.86,18.4,105.0,3,2019-07-09,2019-07-10,2019-07-26,13,207.5,197.31,230.85,4.91,1.796,11.25,-1.51,tiempo,52.0,4.9
GE,8.2,45.6,2.41,4.89,-0.04,6.02,6.06,18.2,451.0,2,2019-07-11,2019-07-12,2019-07-30,13,51.39,49.57,52.43,3.54,0.437,2.04,-3.39,tiempo,61.0,4.9
QCOM,14.6,49.8,2.77,4.06,0.46,16.96,16.43,21.2,906.0,1,2019-07-18,2019-07-19,2019-08-01,10,75.35,72.26,68.88,4.1,-2.193,-8.59,-3.44,gap,65.3,4.0
LMT,1.3,44.1,1.35,3.83,1.19,13.37,12.04,36.6,408.0,3,2019-07-18,2019-07-19,2019-07-23,3,358.38,351.17,351.17,2.01,-1.094,-2.01,-0.79,stop,70.5,1.9
META,4.2,56.9,2.06,3.18,5.97,20.33,13.55,33.6,2739.0,3,2019-07-19,2019-07-22,2019-07-31,8,202.33,192.82,192.82,4.7,-1.072,-4.7,-4.36,stop,62.7,3.4
F,4.2,44.7,1.82,4.66,-0.4,8.83,9.27,16.0,313.0,3,2019-07-22,2019-07-23,2019-07-25,3,10.17,9.9,9.75,2.68,-1.61,-4.13,-1.08,gap,67.1,1.9
MAR,2.9,43.6,1.74,5.49,1.54,10.48,8.8,17.7,212.0,3,2019-07-22,2019-07-23,2019-08-05,10,137.79,134.24,134.09,2.58,-1.198,-2.69,-1.7,gap,67.6,4.0
ORCL,11.5,50.7,1.53,4.49,3.72,11.29,7.29,29.9,861.0,2,2019-07-23,2019-07-24,2019-07-31,6,58.14,56.83,56.83,2.26,-1.124,-2.26,-1.31,stop,47.6,2.8
RACE,1.0,40.3,1.36,5.31,1.63,22.93,20.96,31.6,56.0,3,2019-07-30,2019-07-31,2019-08-02,3,162.3,159.03,159.03,2.02,-1.094,-2.02,-1.58,stop,79.5,1.9
LNG,9.1,39.1,2.13,6.16,-2.46,0.8,3.34,19.0,97.0,3,2019-07-30,2019-07-31,2019-08-01,2,65.54,63.46,63.46,3.18,-1.05,-3.18,-1.62,stop,48.2,1.6
ASML,4.7,56.6,1.96,4.81,8.41,19.91,10.61,32.3,153.0,2,2019-07-31,2019-08-01,2019-08-01,1,227.36,220.34,220.34,3.09,-1.042,-3.09,0.0,stop,59.2,1.3
